,brain_neurons,left,right,dSEZ,dVNC,RG,APL,sink,preliminary_LN,partially_differentiated,unsplittable,pLN,cLN,CN,CN2,CX,FAN,FB2N,FBN,FFN,KC_subclass_1claw,KC_subclass_2claw,KC_subclass_3claw,KC_subclass_4claw,KC_subclass_5claw,KC_subclass_6claw,KC,keystone,LHN,LHN2,LON,MBIN,MBON,motor_subclass_AN,motor_subclass_MN,motor_subclass_PaN,motor_subclass_VAN,motor,mPN,dUnk,sens_subclass_AN,sens_subclass_MN,sens_subclass_ORN,sens_subclass_PaN,sens_subclass_photoRh5,sens_subclass_photoRh6,sens_subclass_thermo,sens_subclass_vtd,sens,tPN,uPN,vPN,RG_subclass_CA-LP,MBIN_subclass_DAN,RG_subclass_IPC,RG_subclass_ITP,mPN_subclass_multi,MBIN_subclass_OAN,mPN_subclass_olfactory,bLN,broad_LN_subclass_Duet,broad_LN_subclass_Trio,MBON_subclass_appetitive,MBON_subclass_aversive,MBON_subclass_neither,class1,all_class1,n_class1,all_class2,n_class2,hemisphere,Pair,Pair ID,merge_class,lineage,dendrite_input,axon_input,class2,In edgesum,Out edgesum,Total edgesum,In degree,Out degree,Total degree,pair_td,Original index,inds
16937815,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,13411525,857,unk,DPMm1,97.0,14.0,,101.0,112.0,213.0,36,25,61,58.0,1861,679
9429085,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,17247877,341,unk,unk,37.0,5.0,,37.0,41.0,78.0,20,16,36,38.5,913,897
6451332,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,mPN,['mPN'],1,['mPN_subclass_olfactory'],1,L,3538129,180,mPN-olfac,unk,240.0,58.0,olfac,278.0,413.0,691.0,58,111,169,171.5,528,28
17423412,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHN,['LHN'],1,[],0,L,13038489,955,LHN,unk,49.0,29.0,,68.0,167.0,235.0,41,51,92,118.0,2034,167
14073503,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CN,['CN'],1,[],0,L,5669107,618,CN,DALcm12-m,263.0,34.0,,275.0,115.0,390.0,99,57,156,168.5,1428,31
4506509,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,RG,['RG'],1,['RG_subclass_IPC'],1,L,2357110,101,RG-IPC,Dilp,90.0,1.0,IPC,52.0,0.0,52.0,16,0,16,17.0,327,1094
11525714,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,MBIN,['MBIN'],1,['MBIN_subclass_OAN'],1,L,12805363,1182,MBIN-OAN,unk,190.0,0.0,OAN,118.0,163.0,281.0,51,42,93,102.5,1190,250
5617164,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,sens,['sens'],1,['sens_subclass_vtd'],1,L,10963761,1103,sens-vtd,unk,0.0,15.0,vtd,6.0,35.0,41.0,4,13,17,15.5,420,1103
17360070,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,15656223,940,unk,DPlal1-3_ant,11.0,63.0,,33.0,100.0,133.0,20,41,61,48.5,2001,783
16544485,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHN2,['LHN2'],1,[],0,L,17937123,797,LHN2,DPLm2,95.0,21.0,,100.0,100.0,200.0,39,39,78,87.0,1763,375
17360282,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CX,['CX'],1,[],0,L,14754777,945,CX,DALv1,175.0,49.0,,217.0,146.0,363.0,53,28,81,81.5,2007,424
18035063,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,17937986,1015,unk,BLVp1,55.0,39.0,,50.0,153.0,203.0,28,50,78,69.5,2183,542
3547397,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,sens,['sens'],1,['sens_subclass_ORN'],1,L,2571761,1098,sens-ORN,unk,0.0,59.0,ORN,59.0,234.0,293.0,10,19,29,28.5,136,1005
17356467,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dUnk,['dUnk'],1,[],0,L,20242957,927,dUnk,BAla34,36.0,1.0,,19.0,9.0,28.0,11,6,17,13.5,1988,1117
7910624,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,MBON,['MBON'],1,[],0,L,7897469,236,MBON,BLAv12_post,131.0,146.0,,145.0,182.0,327.0,48,49,97,96.5,638,299
19785305,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,9094797,1062,unk,DPLc_post_med,40.0,13.0,,43.0,33.0,76.0,13,22,35,32.0,2270,965
16428373,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHN2,['LHN2'],1,[],0,L,5369028,771,LHN2,DPLc_post_med,53.0,5.0,,55.0,80.0,135.0,26,35,61,63.0,1725,619
17237305,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CN,['CN' 'LHN2'],2,[],0,L,14948339,907,CN,DPMl12,128.0,61.0,,177.0,75.0,252.0,33,23,56,61.5,1943,635
11017761,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,MBON,['LHN2' 'MBON'],2,[],0,L,16178283,467,MBON,DALcm12-v,503.0,63.0,,408.0,334.0,742.0,99,75,174,167.5,1132,33
9527333,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,FB2N,['FB2N'],1,[],0,L,13210358,352,FB2N,DPLam,184.0,29.0,,181.0,290.0,471.0,76,58,134,127.5,930,124
6340439,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,sens,['sens'],1,['sens_subclass_ORN'],1,L,4076389,1093,sens-ORN,unk,0.0,30.0,ORN,30.0,311.0,341.0,6,24,30,30.5,525,979
15639294,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dVNC,['dVNC'],1,[],0,L,7571966,714,dVNC,CPe,103.0,35.0,,18.0,6.0,24.0,14,6,20,18.0,1596,1082
10317031,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,2504517,393,unk,CM13_med,29.0,31.0,,41.0,66.0,107.0,16,36,52,49.5,1016,773
16223537,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,MBON,['MBON'],1,['MBON_subclass_neither'],1,L,8980589,751,MBON-neith,unk,1282.0,169.0,neith,794.0,710.0,1504.0,62,87,149,155.5,1680,53
11084320,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,8461082,476,unk,BLAvm post,177.0,35.0,,109.0,130.0,239.0,42,47,89,94.0,1147,320
4117305,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,KC,['KC'],1,['KC_subclass_1claw'],1,L,16720240,72,KC-1claw,MBNB D ,31.0,177.0,1claw,106.0,270.0,376.0,41,73,114,112.5,245,197
18500988,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CN2,['CN2'],1,[],0,L,14334367,1034,CN2,DPMm2,251.0,97.0,,338.0,724.0,1062.0,92,133,225,242.5,2218,1
16545101,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,4812481,799,unk,BAmv12_ven,98.0,55.0,,70.0,102.0,172.0,20,20,40,42.5,1765,844
17732334,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dVNC,['dVNC'],1,[],0,L,16347786,993,dVNC,DPMl,56.0,6.0,,56.0,11.0,67.0,17,4,21,25.0,2126,1027
9207332,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHN,['LHN'],1,[],0,L,8305958,322,LHN,DPLl,82.0,16.0,,84.0,104.0,188.0,36,25,61,71.5,883,522
18058793,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dVNC,['dVNC'],1,[],0,L,14588375,1018,dVNC,unk,76.0,34.0,,72.0,27.0,99.0,33,8,41,40.5,2186,870
11719626,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,20278329,512,unk,BLP12,102.0,22.0,,42.0,115.0,157.0,13,45,58,61.0,1212,640
20981306,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,10663559,1135,unk,BLAv12at,16.0,7.0,,11.0,41.0,52.0,10,21,31,29.5,2307,993
10355356,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,5898284,1128,unk,CM13_med,39.0,19.0,,46.0,68.0,114.0,18,25,43,48.5,1025,781
5291791,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,pLN,['pLN'],1,[],0,L,8199671,131,pLN,BAla12,236.0,89.0,,282.0,403.0,685.0,36,56,92,95.0,390,314
15669682,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,17658672,716,unk,BLVp1,35.0,13.0,,10.0,37.0,47.0,7,19,26,31.5,1604,972
7025064,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CX,['CX'],1,[],0,L,8161142,194,CX,DALcm12-v,75.0,27.0,,96.0,51.0,147.0,33,23,56,61.5,557,636
8338584,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,MBON,['MBON'],1,['MBON_subclass_aversive'],1,L,4195012,271,MBON-av,DALv23,477.0,0.0,av,226.0,256.0,482.0,46,76,122,124.0,742,142
18088813,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,17660233,1022,unk,CM4-vm,8.0,11.0,,13.0,31.0,44.0,7,21,28,30.0,2191,986
17087885,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dSEZ,['dSEZ'],1,[],0,L,17324711,881,dSEZ,DPMm1,95.0,36.0,,97.0,32.0,129.0,43,12,55,60.5,1903,651
9235545,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,17435815,323,unk,ni-neurons MB,70.0,20.0,,82.0,118.0,200.0,37,32,69,64.0,886,609
13380660,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dSEZ,['dSEZ'],1,[],0,L,14517691,597,dSEZ,BAmas12_ven,194.0,17.0,,81.0,42.0,123.0,25,21,46,43.0,1355,839
7005184,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dVNC,['dVNC'],1,[],0,L,7569260,193,dVNC,CPf,49.0,42.0,,40.0,13.0,53.0,19,6,25,34.5,555,945
16468935,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,10781924,786,unk,TRdl post,77.0,81.0,,111.0,152.0,263.0,46,80,126,153.0,1746,62
20139548,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dSEZ;dVNC,['dSEZ' 'dVNC'],2,[],0,L,17380345,1069,dSEZ;dVNC,CM4-dm,81.0,28.0,,36.0,29.0,65.0,18,10,28,29.0,2284,1001
9447255,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,LHN,['LHN'],1,[],0,L,16295025,344,LHN,unk,128.0,26.0,,125.0,202.0,327.0,47,68,115,112.5,916,196
3061422,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,3272218,31,unk,DALv1,80.0,21.0,,78.0,135.0,213.0,29,64,93,100.5,97,272
17015609,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,unk,[],0,[],0,L,8790590,1174,unk,unk,51.0,6.0,,2.0,5.0,7.0,2,1,3,3.0,1887,1153
