,binarize,graph_type,n_iterations,objective_function,param_key,resolution_parameter,seed,threshold,modularity
0,True,G,2,CPM,LubellJungian,0.0004999999999999999,59823337,0,0.004694215465018982
1,True,G,2,CPM,KnauerWyoming,0.0004999999999999999,50207054,1,0.008513510080931734
2,True,G,2,CPM,SlavicPhoenicia,0.0004999999999999999,1892017,2,0.005274379681859706
3,True,G,2,CPM,JoeBenjamin,0.0004999999999999999,15230236,3,0.004686206833803148
4,True,G,2,CPM,AdkinsBrandenburg,0.0008340502686000295,85627195,0,0.0101889356333978
5,True,G,2,CPM,AsuncionVought,0.0008340502686000295,16079127,1,0.008762564968655163
6,True,G,2,CPM,VitoCochrane,0.0008340502686000295,63057042,2,0.006239283136437691
7,True,G,2,CPM,ThurmanWhitcomb,0.0008340502686000295,10260286,3,0.007944134777682854
8,True,G,2,CPM,CumminsBudweiser,0.0013912797011035628,95333580,0,0.011997286265553254
9,True,G,2,CPM,TulaneKarol,0.0013912797011035628,55114564,1,0.009634098658903252
10,True,G,2,CPM,MukdenTucson,0.0013912797011035628,89042530,2,0.011527451027969657
11,True,G,2,CPM,BallardAphrodite,0.0013912797011035628,69398428,3,0.017269260181841307
12,True,G,2,CPM,OrphicPatti,0.002320794416806388,15123491,0,0.01609584057692322
13,True,G,2,CPM,CainCallisto,0.002320794416806388,19210731,1,0.016438552057231395
14,True,G,2,CPM,MauricioDeimos,0.002320794416806388,48982092,2,0.017728112083204142
15,True,G,2,CPM,PassaicCameron,0.002320794416806388,79237574,3,0.0785650250349525
16,True,G,2,CPM,NantucketKnapp,0.0038713184134056343,70728514,0,0.02282667485050904
17,True,G,2,CPM,OrestesGalatea,0.0038713184134056343,7093158,1,0.021543760931578167
18,True,G,2,CPM,IthacaMissy,0.0038713184134056343,292752,2,0.15065453474293872
19,True,G,2,CPM,EugeniaAmharic,0.0038713184134056343,91385588,3,0.285418252582586
20,True,G,2,CPM,FryeEdinburgh,0.006457748325074419,4778343,0,0.047043179635808396
21,True,G,2,CPM,BronxDeborah,0.006457748325074419,54328231,1,0.3207441343387325
22,True,G,2,CPM,EzekielRoxbury,0.006457748325074419,86240014,2,0.45963685106349916
23,True,G,2,CPM,LouisaWorcestershire,0.006457748325074419,30819253,3,0.45786146875042866
24,True,G,2,CPM,SmithfieldUnivac,0.010772173450159416,89315857,0,0.1655918574670088
25,True,G,2,CPM,RanierL'vov,0.010772173450159416,11886356,1,0.3971377476242494
26,True,G,2,CPM,JuraMarcus,0.010772173450159416,40855805,2,0.4680234467137567
27,True,G,2,CPM,CairoAmoco,0.010772173450159416,28339378,3,0.4800231029637194
28,True,G,2,CPM,SampsonSimla,0.017969068319023125,79837995,0,0.3648670738561065
29,True,G,2,CPM,EurydiceWinslow,0.017969068319023125,6214914,1,0.487649977630131
30,True,G,2,CPM,MickelsonGabriel,0.017969068319023125,99673903,2,0.4499790555262216
31,True,G,2,CPM,EnglishmanIsadore,0.017969068319023125,44123396,3,0.49023672759951126
32,True,G,2,CPM,UlanBologna,0.02997421251594704,56984976,0,0.4216236669924168
33,True,G,2,CPM,JoaquinCain,0.02997421251594704,79486546,1,0.465259403872248
34,True,G,2,CPM,SolBrendan,0.02997421251594704,6809311,2,0.45718390686500576
35,True,G,2,CPM,UticaSchnabel,0.02997421251594704,91147673,3,0.4493525436966819
36,True,G,2,CPM,BraggTuttle,0.049999999999999996,20570324,0,0.42862946362933796
37,True,G,2,CPM,SaoQuebec,0.049999999999999996,18948922,1,0.4156018951322683
38,True,G,2,CPM,KauffmanWaltham,0.049999999999999996,98458842,2,0.4207806923938496
39,True,G,2,CPM,LithuaniaBrooke,0.049999999999999996,39808177,3,0.41805091943045136
40,False,G,2,CPM,IdahoFourier,0.0004999999999999999,27318872,0,0.004694215465018982
41,False,G,2,CPM,TransvaalMcCullough,0.0004999999999999999,57294666,1,0.008513510080931734
42,False,G,2,CPM,ChristiansonBrindisi,0.0004999999999999999,39195728,2,0.005274379681859706
43,False,G,2,CPM,MelBenares,0.0004999999999999999,52756141,3,0.004686206833803148
44,False,G,2,CPM,LombBeebe,0.0008340502686000295,61382062,0,0.0101889356333978
45,False,G,2,CPM,RigaKramer,0.0008340502686000295,12729562,1,0.008762564968655163
46,False,G,2,CPM,RegulusTopeka,0.0008340502686000295,19394369,2,0.006239283136437691
47,False,G,2,CPM,BuddhismDurer,0.0008340502686000295,12660465,3,0.007944134777682854
48,False,G,2,CPM,MephistophelesIvanhoe,0.0013912797011035628,64454619,0,0.011997286265553254
49,False,G,2,CPM,VassarGeminid,0.0013912797011035628,70460877,1,0.009634098658903252
50,False,G,2,CPM,ElizabethChester,0.0013912797011035628,95155483,2,0.011527451027969657
51,False,G,2,CPM,TrumanEcuador,0.0013912797011035628,87503195,3,0.017269260181841307
52,False,G,2,CPM,SlavicDunn,0.002320794416806388,11379037,0,0.01609584057692322
53,False,G,2,CPM,MahoneyMarjory,0.002320794416806388,5167609,1,0.016438552057231395
54,False,G,2,CPM,JukesOrca,0.002320794416806388,17414156,2,0.017728112083204142
55,False,G,2,CPM,BoydCarolinian,0.002320794416806388,91702165,3,0.10327241886510469
56,False,G,2,CPM,HalloweenVerde,0.0038713184134056343,82396145,0,0.02061832239156211
57,False,G,2,CPM,McCartyIndoeuropean,0.0038713184134056343,4980079,1,0.10176353315961957
58,False,G,2,CPM,JasonLang,0.0038713184134056343,33709410,2,0.11574891680698812
59,False,G,2,CPM,AlgonquianSomali,0.0038713184134056343,16646485,3,0.2836550441586794
60,False,G,2,CPM,PunicCoriolanus,0.006457748325074419,16454947,0,0.027948976825093248
61,False,G,2,CPM,KingsleyRomano,0.006457748325074419,37847916,1,0.30060566081606244
62,False,G,2,CPM,GordianWilliam,0.006457748325074419,41191893,2,0.3759579420495054
63,False,G,2,CPM,AlgeriaSmalley,0.006457748325074419,19370492,3,0.4554605093383868
64,False,G,2,CPM,BernsteinNicosia,0.010772173450159416,76759662,0,0.18570971455903817
65,False,G,2,CPM,CodyBurundi,0.010772173450159416,1054470,1,0.4236281228660045
66,False,G,2,CPM,HelenaMaine,0.010772173450159416,26464660,2,0.46083936225698746
67,False,G,2,CPM,DawsonYemen,0.010772173450159416,49672119,3,0.48329451129397344
68,False,G,2,CPM,TuscaloosaElsie,0.017969068319023125,10883449,0,0.3182877667626767
69,False,G,2,CPM,HiberniaMel,0.017969068319023125,31189348,1,0.46409997730813907
70,False,G,2,CPM,BryantValkyrie,0.017969068319023125,43238439,2,0.4714113362434915
71,False,G,2,CPM,BaselPam,0.017969068319023125,43773228,3,0.4505003404691488
72,False,G,2,CPM,AlpheratzAquinas,0.02997421251594704,37359716,0,0.44749126661842487
73,False,G,2,CPM,LockwoodAngelica,0.02997421251594704,26633254,1,0.48094185014960084
74,False,G,2,CPM,NaomiAlberto,0.02997421251594704,15146665,2,0.4509151184288511
75,False,G,2,CPM,CopernicanPorto,0.02997421251594704,6628011,3,0.45112285377524
76,False,G,2,CPM,GreenbriarZaire,0.049999999999999996,50445049,0,0.4432292000504542
77,False,G,2,CPM,McGillHarley,0.049999999999999996,97301665,1,0.4274817872355556
78,False,G,2,CPM,CyprianCapricorn,0.049999999999999996,44676354,2,0.4148514135201603
79,False,G,2,CPM,MonicaHilton,0.049999999999999996,15222242,3,0.41842311393441883
80,True,G,2,CPM,ReykjavikBaylor,0.0004999999999999999,22680263,0,0.004782160144363876
81,True,G,2,CPM,CalvertEllen,0.0004999999999999999,26601430,1,0.008187738735866363
82,True,G,2,CPM,WestinghousePhillip,0.0004999999999999999,25278777,2,0.005377914567976614
83,True,G,2,CPM,HobbsGuggenheim,0.0004999999999999999,327196,3,0.004479782690062345
84,True,G,2,CPM,PensacolaSanford,0.0008340502686000295,23231394,0,0.011225381952464286
85,True,G,2,CPM,TriceratopsVito,0.0008340502686000295,93578973,1,0.008834884650802278
86,True,G,2,CPM,EdmondsHildebrand,0.0008340502686000295,57212364,2,0.006341986498229493
87,True,G,2,CPM,MadeiraBator,0.0008340502686000295,61370653,3,0.005000628595561381
88,True,G,2,CPM,AugustaLocke,0.0013912797011035628,47860218,0,0.011507669328842533
89,True,G,2,CPM,EphesianElysee,0.0013912797011035628,476194,1,0.009993578558153866
90,True,G,2,CPM,BarbaraCornelia,0.0013912797011035628,42820180,2,0.010958978816809479
91,True,G,2,CPM,KaskaskiaWinifred,0.0013912797011035628,13704824,3,0.016398973576896077
92,True,G,2,CPM,TexacoBoreas,0.002320794416806388,22630572,0,0.015711351260973574
93,True,G,2,CPM,DanzigTamil,0.002320794416806388,62188323,1,0.011676747367611458
94,True,G,2,CPM,KowalewskiHonda,0.002320794416806388,38231660,2,0.015709476610968966
95,True,G,2,CPM,LockhartMontclair,0.002320794416806388,72243678,3,0.10327241886510469
96,True,G,2,CPM,FaustBoeing,0.0038713184134056343,3138150,0,0.02061832239156211
97,True,G,2,CPM,MalaysiaBaltimore,0.0038713184134056343,74968922,1,0.10176353315961957
98,True,G,2,CPM,BasqueStefan,0.0038713184134056343,43401058,2,0.11574891680698812
99,True,G,2,CPM,FujitsuPandanus,0.0038713184134056343,40874085,3,0.2836550441586794
100,True,G,2,CPM,TheodosianOslo,0.006457748325074419,16403453,0,0.027948976825093248
101,True,G,2,CPM,BahreinBowditch,0.006457748325074419,74072293,1,0.30060566081606244
102,True,G,2,CPM,WesleyanPollard,0.006457748325074419,65592514,2,0.3759579420495054
103,True,G,2,CPM,MaoKnutsen,0.006457748325074419,87993685,3,0.4554605093383868
104,True,G,2,CPM,ElyseeGino,0.010772173450159416,95660148,0,0.18570971455903817
105,True,G,2,CPM,GuyanaLevi,0.010772173450159416,49967089,1,0.4236281228660045
106,True,G,2,CPM,PalmyraAntoine,0.010772173450159416,46408733,2,0.46083936225698746
107,True,G,2,CPM,MassachusettsRome,0.010772173450159416,83513362,3,0.48329451129397344
108,True,G,2,CPM,LykesGunderson,0.017969068319023125,62420337,0,0.40174619176742027
109,True,G,2,CPM,FinnishWhipple,0.017969068319023125,15790995,1,0.46409997730813907
110,True,G,2,CPM,PortiaCeres,0.017969068319023125,66146735,2,0.4714113362434915
111,True,G,2,CPM,CorinthianSchuster,0.017969068319023125,5727617,3,0.47881990046761286
112,True,G,2,CPM,YukonKinney,0.02997421251594704,67916243,0,0.41245306604787163
113,True,G,2,CPM,ThessalyEnid,0.02997421251594704,53423645,1,0.47136196124659996
114,True,G,2,CPM,McGrathSaturn,0.02997421251594704,67339286,2,0.4509241449151507
115,True,G,2,CPM,TitoPakistani,0.02997421251594704,87940465,3,0.4543687124399695
116,True,G,2,CPM,ManuelCaucasian,0.049999999999999996,99336746,0,0.43797056648707566
117,True,G,2,CPM,PomonaMavis,0.049999999999999996,18461022,1,0.4247994351959908
118,True,G,2,CPM,NorfolkHoboken,0.049999999999999996,45265776,2,0.4181584069862908
119,True,G,2,CPM,KnutsonIndochina,0.049999999999999996,52731400,3,0.41720171138940504
120,False,G,2,CPM,VernaJaime,0.0004999999999999999,30498340,0,0.004782160144363876
121,False,G,2,CPM,AdenMoses,0.0004999999999999999,54543098,1,0.008042807744469109
122,False,G,2,CPM,OlgaMoen,0.0004999999999999999,44942127,2,0.0050688351570402895
123,False,G,2,CPM,DeimosInterpol,0.0004999999999999999,95739429,3,0.0045483771153487
124,False,G,2,CPM,IgorPatrice,0.0008340502686000295,38790051,0,0.011410379924594982
125,False,G,2,CPM,LaurentianSalerno,0.0008340502686000295,15870342,1,0.008798769797424374
126,False,G,2,CPM,AquariusCushing,0.0008340502686000295,68695515,2,0.0065481506232245535
127,False,G,2,CPM,MatildaBrookhaven,0.0008340502686000295,57995550,3,0.005274245640435417
128,False,G,2,CPM,DunlopAdirondack,0.0013912797011035628,62890815,0,0.011736407895963093
129,False,G,2,CPM,ChristyMiguel,0.0013912797011035628,88697273,1,0.010261905206487619
130,False,G,2,CPM,DietzChloe,0.0013912797011035628,59676211,2,0.009949416306614806
131,False,G,2,CPM,EurydiceFinn,0.0013912797011035628,31691284,3,0.01159275075599098
132,False,G,2,CPM,BalzacBoucher,0.002320794416806388,54109703,0,0.014918707737890346
133,False,G,2,CPM,DenverHuron,0.002320794416806388,59831144,1,0.015563752043271536
134,False,G,2,CPM,CarrAlsatian,0.002320794416806388,67187834,2,0.08734115035874292
135,False,G,2,CPM,CornwallDorset,0.002320794416806388,28724868,3,0.027677319940445023
136,False,G,2,CPM,BurkeVietnam,0.0038713184134056343,5507398,0,0.01883576226448722
137,False,G,2,CPM,WhitcombJoel,0.0038713184134056343,90388572,1,0.1106348436548089
138,False,G,2,CPM,MendelKnudsen,0.0038713184134056343,72442429,2,0.12128644395158278
139,False,G,2,CPM,JaniceWrigley,0.0038713184134056343,87772078,3,0.28359747026519627
140,False,G,2,CPM,HuntingtonMoslem,0.006457748325074419,90560984,0,0.024963101870596437
141,False,G,2,CPM,VolvoDavies,0.006457748325074419,39186834,1,0.2850114643722246
142,False,G,2,CPM,SuffolkColgate,0.006457748325074419,66783414,2,0.28172679966558606
143,False,G,2,CPM,LangmuirJudaism,0.006457748325074419,82860293,3,0.43443813996954495
144,False,G,2,CPM,I'llThailand,0.010772173450159416,70977255,0,0.2823692915427859
145,False,G,2,CPM,ThompsonBudweiser,0.010772173450159416,24274821,1,0.352614728822445
146,False,G,2,CPM,AntigoneLucifer,0.010772173450159416,1439082,2,0.4393173079094858
147,False,G,2,CPM,CrusoeCromwell,0.010772173450159416,16144495,3,0.47016071345744254
148,False,G,2,CPM,HiramTyphon,0.017969068319023125,67251227,0,0.40174619176742027
149,False,G,2,CPM,AgnesShari,0.017969068319023125,94970666,1,0.45109464930700854
150,False,G,2,CPM,KnudsenHellenic,0.017969068319023125,38427207,2,0.46648354621006255
151,False,G,2,CPM,JewellGiuliano,0.017969068319023125,35405758,3,0.47881990046761286
152,False,G,2,CPM,MercedesStarr,0.02997421251594704,80952120,0,0.41245306604787163
153,False,G,2,CPM,CharlemagneMiltonic,0.02997421251594704,2755952,1,0.47136196124659996
154,False,G,2,CPM,PhilipChristie,0.02997421251594704,29086000,2,0.4509241449151507
155,False,G,2,CPM,McDonnellSherwood,0.02997421251594704,82508965,3,0.4543687124399695
156,False,G,2,CPM,ErnstDobbs,0.049999999999999996,8248397,0,0.43797056648707566
157,False,G,2,CPM,WilkinsonNatalie,0.049999999999999996,5378836,1,0.4247994351959908
158,False,G,2,CPM,WinfieldMalaysia,0.049999999999999996,70674270,2,0.40824267246866847
159,False,G,2,CPM,MartinsonPepsiCo,0.049999999999999996,80401105,3,0.41720171138940504
160,True,G,2,CPM,McCartyErnest,0.0004999999999999999,87828861,0,0.004782160144363876
161,True,G,2,CPM,PerillaMcClellan,0.0004999999999999999,21176863,1,0.007969919831836265
162,True,G,2,CPM,RioYokuts,0.0004999999999999999,79246098,2,0.0050688351570402895
163,True,G,2,CPM,LopezLise,0.0004999999999999999,18266742,3,0.0045483771153487
164,True,G,2,CPM,DeannaJanuary,0.0008340502686000295,42294125,0,0.011410379924594982
165,True,G,2,CPM,BesselWashington,0.0008340502686000295,56849141,1,0.00928647013790331
166,True,G,2,CPM,OstranderMennonite,0.0008340502686000295,3319474,2,0.006649642075374446
167,True,G,2,CPM,JanusMoroccan,0.0008340502686000295,50753854,3,0.011149670873794372
168,True,G,2,CPM,HagstromTucson,0.0013912797011035628,61008775,0,0.011354075524789597
169,True,G,2,CPM,MinotaurKennedy,0.0013912797011035628,63585682,1,0.010048871357355733
170,True,G,2,CPM,SalishWhelan,0.0013912797011035628,24698008,2,0.010097563416143832
171,True,G,2,CPM,BernoulliBorroughs,0.0013912797011035628,64492609,3,0.01620637181538079
172,True,G,2,CPM,PuertoCanoga,0.002320794416806388,82938142,0,0.014569624697622132
173,True,G,2,CPM,DorcasBuchenwald,0.002320794416806388,70966936,1,0.015073113396972917
174,True,G,2,CPM,AlabamianBlomberg,0.002320794416806388,24678574,2,0.07075126771964815
175,True,G,2,CPM,LippincottBessie,0.002320794416806388,26920095,3,0.12058406377268364
176,True,G,2,CPM,SilvermanTibetan,0.0038713184134056343,93640383,0,0.017846323074696205
177,True,G,2,CPM,SimsShearer,0.0038713184134056343,32498663,1,0.09443298463442235
178,True,G,2,CPM,AdairSonora,0.0038713184134056343,75250655,2,0.12128644395158278
179,True,G,2,CPM,PuritanHyde,0.0038713184134056343,73531563,3,0.33801875914684015
180,True,G,2,CPM,LaurentianGary,0.006457748325074419,32256357,0,0.02638930836115061
181,True,G,2,CPM,MardiGoa,0.006457748325074419,7191423,1,0.25204652791674037
182,True,G,2,CPM,BiggsBrennan,0.006457748325074419,55087261,2,0.40917331159553477
183,True,G,2,CPM,ManaguaGerard,0.006457748325074419,36810403,3,0.43443813996954495
184,True,G,2,CPM,KetteringBlatz,0.010772173450159416,14179968,0,0.309302162263416
185,True,G,2,CPM,CatalinaYorktown,0.010772173450159416,83515890,1,0.44262940726755223
186,True,G,2,CPM,ChristoffelPermian,0.010772173450159416,74930115,2,0.4625825616981324
187,True,G,2,CPM,ColomboRutland,0.010772173450159416,88218530,3,0.48050762244126266
188,True,G,2,CPM,CapitolineEastland,0.017969068319023125,16055111,0,0.35060533703922975
189,True,G,2,CPM,KilgoreSaturn,0.017969068319023125,33049770,1,0.46469623554557943
190,True,G,2,CPM,JonesEnoch,0.017969068319023125,80095071,2,0.4581108657891976
191,True,G,2,CPM,MarseillesChelsea,0.017969068319023125,80914366,3,0.45499650841402306
192,True,G,2,CPM,ColbyYorktown,0.02997421251594704,86419482,0,0.45008277331919805
193,True,G,2,CPM,HansonCarlyle,0.02997421251594704,25211435,1,0.4460283582114469
194,True,G,2,CPM,LehmanHanoverian,0.02997421251594704,93821635,2,0.44392363326691325
195,True,G,2,CPM,KnoxvilleJosephson,0.02997421251594704,38149098,3,0.45112287413926655
196,True,G,2,CPM,BartlettHolyoke,0.049999999999999996,81204545,0,0.44547856029438565
197,True,G,2,CPM,MarcelSegovia,0.049999999999999996,72009753,1,0.42163268636509865
198,True,G,2,CPM,HuxtableHalstead,0.049999999999999996,99117673,2,0.40824267246866847
199,True,G,2,CPM,CobolDis,0.049999999999999996,84105135,3,0.41871867501430377
