,neuron_name,Class 1,Merge Class,is_LNpre,is_pdiff,is_usplit,is_brain,Hemisphere,Pair,Pair ID,lineage,dendrite_input,axon_input,Class 2,idx,dead_counts
8247641, (ChalOLP;right) [*OLP_r] #8247641,LON,LON,True,False,True,True,R,17414715,952,OLP,326,0,,861,5421.0
17414715, (ChalOLP;left) [*OLP_l] #17414715,LON,LON,True,False,True,True,L,8247641,952,OLP,261,0,,2484,4796.0
5030808, (keystone left) [] #5030808,keystone,keystone,False,False,False,False,L,10831005,1164,unk,1130,0,,467,3181.0
11525714,OAN-g1 (MBE22 left) [] #11525714,MBIN,MBIN-OAN,False,False,True,False,L,12805363,1182,unk,190,0,OAN,1399,2779.0
4116174,FFN-39,FFN,FFN,True,False,True,True,R,10865025,442,BAmv3,559,0,,324,2660.0
10865025,FFN-39,FFN,FFN,True,False,True,True,L,4116174,442,BAmv3,488,0,,1298,2313.0
12805363,OAN-g1 (MBE22 right) [] #12805363,MBIN,MBIN-OAN,False,False,True,False,R,11525714,1182,unk,157,0,OAN,1533,2117.0
10831005, (keystone right) [] #10831005,keystone,keystone,False,False,False,False,R,5030808,1164,unk,1077,0,,1294,2022.0
7939979, (broad T1 left) [*BAlc ant_l akira] #7939979,bLN,bLN-Trio,True,False,True,True,L,8198317,239,BAlc ant,1124,0,Trio,783,1997.0
8198238,MB2IN-184 (broad T2 right) [*BAlc ant_r akira] #8198238,bLN,bLN-Trio,True,False,True,True,R,8311264,270,BAlc ant,1201,0,Trio,839,1981.0
7983899,OAN-e1 (MBE9a left) [*CPc_l akira] #7983899,MBIN,MBIN-OAN,False,False,True,True,L,7616956,244,CPc,641,0,OAN,796,1872.0
18028397,MBON-k1 (MBE5b right) [*DAMd1_r akira] #18028397,MBON,MBON,False,False,True,True,R,16846805,836,DAMd1,649,0,,2646,1813.0
15618614,MB2ON-247 (Tidal wave right) [unknown lineage] #15618614,CN2,CN2,False,False,False,True,R,14342744,632,unk,238,6,,1891,1795.0
6557581,MB2IN-185 (broad T3 right) [*BAlc ant_r akira] #6557581,bLN,bLN-Trio,True,False,True,True,R,7939890,238,BAlc ant,1127,0,Trio,649,1747.0
7802210,MBON-i1 (MBE5a left) [*DAMd1_l akira] #7802210,MBON,MBON,False,False,True,True,L,16797672,225,DAMd1,693,0,,756,1723.0
8311264,MB2IN-184 (broad T2 left) [*BAlc ant_l akira] #8311264,bLN,bLN-Trio,True,False,True,True,L,8198238,270,BAlc ant,947,0,Trio,887,1688.0
8198317, (broad T1 right) [*BAlc ant_r akira] #8198317,bLN,bLN-Trio,True,False,True,True,R,7939979,239,BAlc ant,1044,0,Trio,840,1663.0
7939890,MB2IN-185 (broad T3 left) [*BAlc ant_l akira] #7939890,bLN,bLN-Trio,True,False,True,True,L,6557581,238,BAlc ant,979,0,Trio,782,1570.0
7616956,OAN-e1 (MBE9a right) [*CPc_r akira] #7616956,MBIN,MBIN-OAN,False,False,True,True,R,7983899,244,CPc,711,0,OAN,744,1563.0
16797672,MBON-i1 (MBE5a right) [*DAMd1_r akira] #16797672,MBON,MBON,False,False,True,True,R,7802210,225,DAMd1,633,0,,2266,1494.0
16846805,MBON-k1 (MBE5b left) [*DAMd1_l akira] #16846805,MBON,MBON,False,False,True,True,L,18028397,836,DAMd1,687,0,,2272,1476.0
15770140,MB2IN-154,unk,unk,True,False,True,True,L,12049797,725,CPc,302,0,,2004,1467.0
14342744,MB2ON-247 (Tidal wave left) [unknown lineage] #14342744,CN2,CN2,False,False,False,True,L,15618614,632,unk,254,10,,1680,1398.0
17379372,MB2ON-235 (CM4 dor med_r; CM4 dor ant 8 right) [*CM4-dm_r akira,unk,unk,True,False,True,True,R,10018260,380,unk,325,0,,2474,1101.0
10018260,MB2ON-235 (CM4 dor med_l; CM4 dor ant 8 left) [*CM4-dm_l akira] #10018260,unk,unk,True,False,True,True,L,17379372,380,CM4-dm,348,0,,1190,1098.0
12049797,MB2IN-154,unk,unk,True,False,True,True,R,15770140,725,CPc,250,0,,1458,1071.0
8198416,_broad D1 (broad D1 right) [*BAlc ant_r akira] #8198416,bLN,bLN-Duet,True,False,True,True,R,7941652,241,BAlc ant,480,0,Duet,841,1038.0
6143930,MB2IN-182 (CSD right) [*BAlc post_r akira] #6143930,LHN2,LHN2,True,False,True,True,R,13849557,609,BAlc post,369,0,,621,1021.0
7941652,_broad D1 (broad D1 left) [*BAlc ant_l akira] #7941652,bLN,bLN-Duet,True,False,True,True,L,8198416,241,BAlc ant,409,0,Duet,785,1007.0
8198513, (broad D2 right) [*BAlc ant_r akira] #8198513,bLN,bLN-Duet,True,False,True,True,R,7941642,240,BAlc ant,436,0,Duet,842,926.0
7941642, (broad D2 left) [*BAlc ant_l akira] #7941642,bLN,bLN-Duet,True,False,True,True,L,8198513,240,BAlc ant,379,0,Duet,784,808.0
7600311, (picky 1 right) [*BAla12_r akira] #7600311,pLN,pLN,True,False,True,True,R,8102935,253,BAla12,357,0,,742,806.0
8102935, (picky 1 left) [*BAla12_l akira] #8102935,pLN,pLN,True,False,True,True,L,7600311,253,BAla12,315,0,,819,770.0
4679139,mPN,mPN,mPN-multi,False,False,False,True,R,5261424,129,BAmv3,296,0,multi,440,721.0
5474852,CN-25,LHN;CN,LHN;CN,True,False,True,True,L,17591442,136,BLVa12,267,0,,507,698.0
13849557,MB2IN-182 (CSD left) [*BAlc post_l akira] #13849557,LHN2,LHN2,True,False,True,True,L,6143930,609,BAlc post,264,0,,1632,670.0
9372642, (PTTH 1 left) [*BLDc_l akira] #9372642,unk,unk,False,False,False,True,L,9842000,333,BLDc,123,0,,1079,665.0
17591442,CN-25,LHN;CN,LHN;CN,True,False,True,True,R,5474852,136,BLVa12,274,0,,2523,659.0
3928522, (PTTH 2 left) [*BLDc_l akira] #3928522,unk,unk,False,False,False,True,L,16434842,52,BLDc,123,4,,278,641.0
8798010,MBON-h2 (MBE13b left) [*DALv23_l akira] #8798010,MBON,MBON,False,False,True,True,L,4230749,291,DALv23,593,0,,967,621.0
4195012,MBON-h1 (MBE13a right) [*DALv23_r akira] #4195012,MBON,MBON,False,False,True,True,R,8338584,271,DALv23,573,0,,346,620.0
19611917, (DN1-1 - PDL007 #2 left) [*DPLc_ant_lat_l akira] #19611917,LHN,LHN,True,False,True,True,L,8138616,1061,DPLc_antat,113,0,,2743,619.0
16547292, (BAmv12_dor loop left) [*BAmv12_dor_l akira] #16547292,unk,unk,True,False,True,True,L,15732497,807,BAmv12_dor,122,0,,2201,616.0
8357933,MB2ON-62 (BT; BAmd2 ven desc lat 5_left -AXON WRONG) [*BAmd2_v_l akira] #8357933,CN2,CN2,False,False,False,True,L,13764822,277,BAmd2_v,138,23,,900,600.0
8177199, (SP2-1;right) [*CM4-dm_r akira] #8177199,LHN,LHN,True,False,True,True,R,7982896,243,CM4-dm,183,0,,836,585.0
4230749,MBON-h2 (MBE13b right) [*DALv23_r akira] #4230749,MBON,MBON,False,False,True,True,R,8798010,291,DALv23,552,0,,361,580.0
7982896, (SP2-1;left) [*CM4-dm_l akira] #7982896,LHN,LHN,True,False,True,True,L,8177199,243,CM4-dm,202,0,,795,575.0
2512602, (LN2;right) [*BLAd-OL_r akira] #2512602,LON,LON,False,False,False,True,R,2204467,8,BLAd-OL,50,0,,79,571.0
15732497, (BAmv12_dor loop right) [*BAmv12_dor_r akira] #15732497,unk,unk,True,False,True,True,R,16547292,807,BAmv12_dor,116,0,,1989,565.0
8338584,MBON-h1 (MBE13a left) [*DALv23_l akira] #8338584,MBON,MBON,False,False,True,True,L,4195012,271,DALv23,477,0,,892,554.0
13764822,MB2ON-62 (BSD; BAmd2 ven desc lat 5_right - AXON WRONG) [*BAmd2_v_r akira] #13764822,CN2,CN2,False,False,False,True,R,8357933,277,BAmd2_v,116,29,,1616,547.0
17125520,CN-32,CN,CN,True,False,True,True,R,12839441,581,BLVa12,204,0,,2364,507.0
16434842, (PTTH 2 right) [*BLDc_r akira] #16434842,unk,unk,False,False,False,True,R,3928522,52,BLDc,135,0,,2148,483.0
2914206, (DN1-1 - PDL007 right ) [*DPLc_ant_lat_r akira] #2914206,LHN,LHN,True,False,True,True,R,12745771,577,DPLc_antat,144,0,,120,442.0
3021609, (DPM contralateral horseshoe right) [*DPMm2_r akira] #3021609,unk,unk,True,False,True,True,R,17354414,921,DPMm2,173,0,,136,425.0
12745771, (DN1-1 - PDL007 left) [*DPLc_ant_lat_l akira] #12745771,LHN,LHN,True,False,True,True,L,2914206,577,DPLc_antat,137,0,,1529,405.0
17354414, (DPM contralateral horseshoe left) [*DPMl_ant_dor_l akira] #17354414,unk,unk,True,False,True,True,L,3021609,921,DPMl_ant_dor,153,0,,2429,402.0
12839441,CN-32,CN,CN,True,False,True,True,L,17125520,581,BLVa12,196,0,,1536,400.0
9842000, (PTTH 1 right) [*BLDc_r akira] #9842000,unk,unk,False,False,False,True,R,9372642,333,BLDc,119,1,,1169,392.0
2921933, (V1: possible PVL005 - 3 Right) [*BLVa34_r akira] #2921933,LHN,LHN,True,False,True,True,R,4570270,104,BLVa34,131,0,,123,367.0
8138616, (DN1-1 - PDL007 #2 right) [*DPLc_ant_lat_r akira] #8138616,LHN,LHN,True,False,True,True,R,19611917,1061,DPLc_antat,128,0,,828,363.0
3450751,MB2ON-164,LHN2,LHN2,True,False,True,True,R,10160250,382,BAmd1,163,0,,181,348.0
17588623, (ASB Strange Neurites right) [unknown lineage] #17588623,unk,unk,True,False,True,True,R,-1,-1,unk,126,0,,2521,328.0
17736641, (UNK descending 3 left) [unknown lineage] #17736641,unk,unk,False,False,False,True,L,20911961,1119,unk,82,0,,2590,321.0
17340973, (DPM long neck right) [*DPMpm1_r akira] #17340973,unk,unk,True,False,True,True,R,8814524,297,DPMpm1,102,0,,2422,316.0
4570270, (V1: possible PVL005 -  3 Left) [*BLVa12_l akira] #4570270,LHN,LHN,True,False,True,True,L,2921933,104,BLVa12,109,0,,425,308.0
13369670, (S1: neuron right) [*BLAd-vl_r akira] #13369670,unk,unk,True,False,True,True,R,14434314,633,BLAd-vl,139,0,,1578,296.0
16154290,MB2ON-200 (CM4 ven pos 2 right) [*CM4-vm_r akira] #16154290,LHN2,LHN2,False,False,False,True,R,19298625,1056,CM4-vm,86,18,,2078,283.0
8814524, (DPM long neck left) [*DPMl_ant_dor_l akira] #8814524,unk,unk,True,False,True,True,L,17340973,297,DPMl_ant_dor,104,0,,977,276.0
2628785,CN-36,unk,unk,True,False,True,True,L,4311586,18,BAmd2_v,166,0,,94,272.0
8047280, (down pOLP left) [*CPf_l akira] #8047280,LHN2,LHN2,False,False,False,True,L,7587948,249,CPf,121,39,,805,266.0
10160250,MB2ON-164,LHN2,LHN2,True,False,True,True,L,3450751,382,BAmd1,112,0,,1197,263.0
14434314, (S1: neuron left) [*BLAd-vl_l akira,unk,unk,True,False,True,True,L,13369670,633,unk,116,0,,1682,261.0
2797480,MB2ON-205 (DPLc_post_med descending left) [*DPLc_post_med_l akira] #2797480,LHN2,LHN2,True,False,True,True,L,13713529,20,DPLc_post_med,107,0,,111,260.0
20911961, (UNK descending 3 right) [unknown lineage] #20911961,unk,unk,False,False,False,True,R,17736641,1119,unk,58,0,,2781,259.0
4311586,CN-36,unk,unk,True,False,True,True,R,2628785,18,BAmd2_v,155,0,,373,253.0
17075832, (BAlp descending 1 left) [unknown lineage] #17075832,CN2,CN2,False,False,False,True,L,14039007,879,unk,31,18,,2348,247.0
4523803, (DMS 2 left) [*Dilp_l akira] #4523803,unk,unk,False,False,False,True,L,13793212,103,Dilp,80,0,,423,245.0
4985759,Thermo PN 2 (AVL011 PN Left) [*BAlp4_l akira] #4985759,LHN,LHN,True,False,True,True,L,9291474,120,BAlp4,83,0,,463,225.0
7982307, (CPf descending ipsilateral-like right) [*CPf_r akira] #7982307,unk,unk,False,False,False,True,R,-1,-1,CPf,116,1,,793,223.0
14039007, (BAlp descending 1 right) [*BAlp_ant_r akira] #14039007,CN2,CN2,False,False,False,True,R,17075832,879,BAlp_ant,42,19,,1651,213.0
5500958, (Coaster (NPF) 2 right) [*DPMpl12_r akira] #5500958,LHN2,LHN2,False,False,False,True,R,7335439,212,DPMpl12,76,20,,512,210.0
13713529,MB2ON-205 (DPLc_post_med descending right) [*DPLc_post_med_r akira] #13713529,LHN2,LHN2,True,False,True,True,R,2797480,20,DPLc_post_med,121,0,,1602,204.0
4523584, (DMS 1 left) [*Dilp_l akira] #4523584,unk,unk,False,False,False,True,L,2659386,102,Dilp,96,0,,422,200.0
16670540, (DALd descending 4 left; DALd_l  1) [*DALd_l akira] #16670540,O_dVNC,unk,False,False,False,True,L,16950443,1159,DALd,50,0,,2241,197.0
13422280, (CP descending contralateral 1 left) [*CPe_l akira] #13422280,LHN2,LHN2,False,False,False,True,L,7589765,599,CPe,78,5,,1586,196.0
2663649, (DPMl a 5 right) [*DPMl12_post_r akira] #2663649,unk,unk,False,False,False,True,R,17732737,1134,DPMl12_post,89,0,,101,195.0
3928652, (CA-LP-1_left) [*ncc_d_l akira] #3928652,LHN2,LHN2,False,False,False,True,L,12704360,54,ncc_d,82,0,,280,193.0
7338309, (DPMpl12 Brain into SEZ left) [*DPMpl12_l akira] #7338309,LHN2,LHN2,False,False,False,True,L,17352470,213,DPMpl12,53,26,,700,191.0
9604434, (UNK brancher 2 right) [unknown lineage] #9604434,unk,unk,False,False,False,True,R,15722990,722,unk,35,22,,1123,187.0
13793212, (DMS 2 right) [*Dilp_r akira] #13793212,unk,unk,False,False,False,True,R,4523803,103,Dilp,61,0,,1618,181.0
11157622, (BAmd1 PN 1 left) [*BAmd1_l akira] #11157622,unk,unk,False,False,True,True,L,17036160,481,BAmd1,62,0,,1363,177.0
12704360, (CA-LP-1_right) [*ncc_d_r akira] #12704360,LHN2,LHN2,False,False,False,True,R,3928652,54,ncc_d,76,0,,1527,173.0
15541971, (BAmd1 bilateral left) [*BAmd1_l akira] #15541971,LHN2,LHN2,True,False,True,True,L,5734134,691,BAmd1,116,0,,1803,162.0
16141217, (BLAv12 2 left) [*BLAv12_ant_l akira] #16141217,LHN,LHN,False,False,False,True,L,13722516,748,BLAv12_ant,52,9,,2077,161.0
16444758, (MB2ON-205 like left) [*DPLc_post_med_l akira] #16444758,LHN2,LHN2,True,False,True,True,L,17762417,782,DPLc_post_med,61,0,,2163,160.0
9291474,Thermo PN 2 (AVL011 PN Right) [*BAlp4_r akira] #9291474,LHN,LHN,True,False,True,True,R,4985759,120,BAlp4,77,0,,1074,156.0
16335254,MB2IN-160 (DALcm_r; DALcm12 m lat 2) [*DALcm12-m_r akira] #16335254,LHN2,LHN2,True,False,True,True,R,15517247,684,DALcm12-m,75,0,,2106,140.0
4400767, (DH44 2 left) [*Dilp_l akira] #4400767,unk,unk,False,False,False,True,L,13751194,88,Dilp,71,0,,395,130.0
4620453, (AVL011 PN Right 2?) [*BAlp4_r akira] #4620453,unk,unk,True,False,True,True,R,-1,-1,BAlp4,64,0,,432,128.0
13751194, (DH44 2 right) [*Dilp_r akira] #13751194,unk,unk,False,False,False,True,R,4400767,88,Dilp,82,5,,1613,127.0
15517247,MB2IN-160 (DALcm12 L v e 1) [*DALcm12-m_l akira] #15517247,LHN2,LHN2,True,False,True,True,L,16335254,684,DALcm12-m,75,0,,1787,125.0
2659386, (DMS 1 right) [*Dilp_r akira] #2659386,unk,unk,False,False,False,True,R,4523584,102,Dilp,68,1,,99,122.0
17762417, (MB2ON-205 like right) [*DPLc_post_med_r akira,LHN2,LHN2,True,False,True,True,R,16444758,782,unk,72,0,,2599,119.0
17328580, (BAla34 bilateral 2 right) [*BAla34_r akira] #17328580,unk,unk,False,False,False,True,R,16434560,774,BAla34,28,20,,2414,113.0
10378182, (PVM21?_left) [*CM4-vm_l akira] #10378182,unk,unk,False,False,True,True,L,16713231,397,CM4-vm,37,0,,1231,107.0
5734134, (BAmd1 bilateral right) [*BAmd1_r akira] #5734134,LHN2,LHN2,True,False,True,True,R,15541971,691,BAmd1,81,0,,546,96.0
17732737, (DPMl a 5 left) [DPMl_l] #17732737,unk,unk,False,False,False,True,L,2663649,1134,DPMl,69,0,,2588,95.0
15547235, (BAmd1 PN 2 left) [*BAmd1_l akira] #15547235,unk,unk,False,False,True,True,L,17036132,692,BAmd1,79,0,,1807,94.0
17036160, (BAmd1 PN 1 right) [*BAmd1_r akira] #17036160,unk,unk,False,False,True,True,R,11157622,481,BAmd1,70,0,,2340,93.0
15524852, (DALcl12 v d 8 L) [*DALcl12-v_l akira] #15524852,unk,unk,False,False,False,True,L,9060993,1161,DALcl12-v,29,1,,1792,89.0
17036132, (BAmd1 PN 2 right) [*BAmd1_r akira] #17036132,unk,unk,False,False,True,True,R,15547235,692,BAmd1,73,0,,2339,89.0
16283590,MB2IN-159 (not MB2IN-159) [*BLAv12_ant_l akira,unk,unk,False,False,False,True,L,-1,-1,unk,35,0,,2096,85.0
3762787, (CRZ 2 right) [*ncc_d_r akira] #3762787,unk,unk,False,False,False,True,R,3926438,49,ncc_d,58,2,,227,81.0
10563755, (DH44 3 left) [*Dilp_l akira] #10563755,unk,unk,False,False,False,True,L,13535387,414,Dilp,65,0,,1251,71.0
16347476, (DPM splitter right) [*DPMl12_post_r akira] #16347476,LHN2,LHN2,True,False,True,True,R,11073313,474,DPMl12_post,50,0,,2119,68.0
18305476, (BAmv12 contralateral 1 left) [*BAmv12_dor_l akira] #18305476,O_dSEZ,unk,False,False,False,True,L,13007383,1029,BAmv12_dor,29,0,,2676,67.0
20242957, (BAla34 lateral descending 1a right) [*BAla34_r akira] #20242957,unk,unk,False,False,False,True,R,17356467,927,BAla34,29,0,,2761,62.0
16713231, (PVM21?_right (= Pre-goro15); CM4 dor pos 12 DNs) [*CM4-dm_r akira] #16713231,unk,unk,False,False,False,True,R,10378182,397,CM4-dm,36,2,,2255,61.0
14547259,KC (KC32) [Lineage MBNB B right] #14547259,KC,KC-4claw,False,False,False,True,R,-1,-1,MBNB B right,35,24,4claw,1701,48.0
19835787, (UNK posterior hook left) [unknown lineage] #19835787,unk,unk,False,False,False,True,L,17380309,1137,unk,9,3,,2746,46.0
10418394, (DH44 1 left) [*Dilp_l akira] #10418394,unk,unk,False,False,False,True,L,2260755,402,Dilp,69,0,,1237,45.0
2260755, (DH44 1 right) [*Dilp_r akira] #2260755,unk,unk,False,False,False,True,R,10418394,402,Dilp,55,1,,62,44.0
7439913, (BAlp descending 3 left) [*BAlp_ant_l akira] #7439913,O_dSEZ,unk,False,False,False,True,L,17654519,216,BAlp_ant,23,7,,711,44.0
3926669, (CRZ 1 left) [*DPLm2_l akira] #3926669,unk,unk,False,False,False,True,L,3727026,50,DPLm2,59,0,,276,36.0
13370624, (DALv1 bilateral 1 left) [*DALv1_l akira] #13370624,unk,unk,True,False,True,True,L,14756440,596,DALv1,47,0,,1579,33.0
7476468, (CRZ 3 left) [*ncc_d_l akira] #7476468,unk,unk,False,False,False,True,L,3727004,217,ncc_d,60,3,,714,31.0
12989453, (DPLc ant med 1) [*DPLc_ant_med_r akira,unk,unk,False,False,False,True,R,-1,-1,unk,19,1,,1552,30.0
13535387, (DH44 3 right) [*Dilp_r akira] #13535387,unk,unk,False,False,False,True,R,10563755,414,Dilp,60,1,,1589,30.0
17356467, (BAla34 lateral descending 1a left) [*BAla34_l akira] #17356467,unk,unk,False,False,False,True,L,20242957,927,BAla34,33,1,,2440,28.0
14756440, (DALv1 bilateral 1 right) [*DALv1_r akira] #14756440,unk,unk,True,False,True,True,R,13370624,596,DALv1,28,0,,1722,28.0
16316973, (BAmas12_dor SEZ descending right) [*BAmas12_dor_r akira] #16316973,O_dSEZ,unk,False,False,False,True,R,17359111,931,BAmas12_dor,28,0,,2102,28.0
9513911, (BLDc ipsilateral unpaired right) [*BLDc_r akira] #9513911,unk,unk,True,False,True,True,R,-1,-1,BLDc,24,0,,1102,27.0
11073313, (DPM splitter left) [*DPMpl12_l akira] #11073313,LHN2,LHN2,True,False,True,True,L,16347476,474,DPMpl12,33,0,,1352,22.0
11717030, (BLP12 descending 1 left; dpn_left_1304_11) [*BLP12_l akira] #11717030,unk,unk,True,False,True,True,L,9606496,509,BLP12,54,0,,1422,20.0
3727004, (CRZ 3 right) [*DPLc_post_lat_r akira,unk,unk,False,False,False,True,R,7476468,217,unk,39,2,,219,16.0
17360254, (AB left; DALv1 L Lineage - Downstream A00c) [*DALv1_l akira] #17360254,unk,unk,True,False,True,True,L,4393350,942,DALv1,104,0,,2456,14.0
16448971,KC (KC young no claws) [Lineage MBNB B left] #16448971,KC,KC,False,False,False,True,L,-1,-1,MBNB B left,26,27,,2167,14.0
1137946, (mixed bpl terminal right ) [*BLP12_r akira] #1137946,unk,unk,True,False,True,True,R,19919566,1067,BLP12,114,0,,18,14.0
16547287, (BAmv12 looper 3 left) [*BAmv12_dor_l akira] #16547287,unk,unk,True,False,True,True,L,5167842,806,BAmv12_dor,44,0,,2200,13.0
4393350, (AB right; Timo's Tel-like anterior cell body) [*DALv1_r akira] #4393350,unk,unk,True,False,True,True,R,17360254,942,DALv1,90,0,,393,11.0
20278329, (BLP12 spaghetti right; BLP12 a 11) [*BLP12_r akira] #20278329,unk,unk,True,False,True,True,R,11719626,512,BLP12,101,0,,2762,11.0
3727026, (CRZ 1 right) [*DPLm_r akira,unk,unk,False,False,False,True,R,3926669,50,unk,40,2,,220,10.0
16220042,KC (KC young no claws) [Lineage MBNB D left] #16220042,KC,KC,False,False,False,True,L,-1,-1,MBNB D left,20,27,,2089,10.0
15691118,KC (KC young no claw) [Lineage MBNB B left] #15691118,KC,KC,False,False,False,True,L,-1,-1,MBNB B left,11,18,,1961,2.0
10683313, (BLP12 gripper 1 right; BLP12 a 6) [*BLP12_r akira] #10683313,unk,unk,True,False,True,True,R,11717001,506,BLP12,62,0,,1269,2.0
19919566, (mixed bpl terminal left) [*BLP12_l akira] #19919566,unk,unk,True,False,True,True,L,1137946,1067,BLP12,70,0,,2753,2.0
